City,FAA,IATA,ICAO,Airport,Role,Enplanements
Eugene,EUG,EUG,KEUG,Mahlon Sweet Field,P-S,566832.0
Medford,MFR,MFR,KMFR,Rogue Valley International–Medford Airport,P-S,492217.0
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,12369.0
Portland,PDX,PDX,KPDX,Portland International Airport,P-M,9804868.0
Redmond,RDM,RDM,KRDM,Roberts Field,P-S,430562.0
PENNSYLVANIA,,,,,,
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-S,376468.0
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,95342.0
Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,636756.0
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,151410.0
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,15292670.0
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,4670033.0
State College,UNV,SCE,KUNV,State College Regional Airport,P-N,153571.0
Wilkes-Barre / Scranton,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,258628.0
RHODE ISLAND,,,,,,
Block Island,BID,BID,KBID,Block Island State Airport,P-N,16809.0
Providence,PVD,PVD,KPVD,Rhode Island T. F. Green International Airport,P-S,2117409.0
Westerly,WST,WST,KWST,Westerly State Airport,P-N,17694.0
SOUTH CAROLINA,,,,,,
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-M,2192893.0
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,566660.0
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,44333.0
Greenville,GSP,GSP,KGSP,Greenville–Spartanburg International Airport (Roger Milliken Field),P-S,1133012.0
Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,36308.0
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,1254307.0
SOUTH DAKOTA,,,,,,
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,28404.0
Pierre,PIR,PIR,KPIR,Pierre Regional Airport,P-N,30124.0
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-S,303471.0
Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,529895.0
Watertown,ATY,ATY,KATY,Watertown Regional Airport,P-N,12064.0
TENNESSEE,,,,,,
Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-S,504833.0
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,1069565.0
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,2213083.0
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-L,8017347.0
Tri-Cities,TRI,TRI,KTRI,Tri-Cities Airport,P-N,200086.0
TEXAS,,,,,,
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,75402.0
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,303904.0
Austin,AUS,AUS,KAUS,Austin–Bergstrom International Airport,P-L,6666215.0
Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,21914.0
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,167957.0
College Station,CLL,CLL,KCLL,Easterwood Field,P-N,67033.0
Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,285195.0
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,6487563.0
